	JNK/Cdk5
a_secretase	0.0
Ab	31.98
ABCA7	32.75
AKT	63.920000000000016
APOE4	15.860000000000001
Apoer2	45.21
Apoptosis	44.45
APP	20.290000000000003
ATM	71.19000000000001
Autophagy	47.07
BACE1	31.400000000000002
BAD	59.18000000000001
BAX	59.88000000000001
Bcl2	20.76
BDNF	31.340000000000007
beclin1	45.36000000000001
Bim	83.40000000000002
Ca_ion	78.55000000000001
CASP2	65.59
CASP3	43.52000000000001
Cdk5	18.800000000000004
Cholesterol	89.55000000000003
CIP2A	85.45000000000002
CLU	32.870000000000005
Cofilin	83.83000000000001
CREB	53.830000000000005
CYP46A1	61.34
Dab1	20.21
Dkk1	33.910000000000004
DLK	31.85
e_NMDAR	45.93000000000001
EGR1	67.47
ERK	78.97
FOXO	74.29000000000002
Fyn	65.77000000000001
GSK3beta	20.980000000000004
Jacob	14.55
JNK	72.89000000000001
LAMP2	80.95000000000002
LC3	72.44
LIMK1	90.23000000000002
LPL	26.18
LRP6	26.070000000000004
MAPT	79.96000000000001
MDM2	26.64
mGluR	37.99000000000001
MKK7	32.96000000000001
mTOR	76.53000000000002
p38	24.770000000000003
p53	40.690000000000005
p62	43.35000000000001
PGC1a	90.13000000000001
PI3K	38.370000000000005
PICALM	72.66000000000001
PIP2	30.340000000000003
PP2A	52.7
PP2B	41.82
PTEN	73.9
PUMA	67.38000000000001
Reelin	60.050000000000004
RhoA	77.47
ROCK	60.66000000000001
ROS	69.01
s_NMDAR	47.46000000000001
SORL1	24.740000000000002
Sortilin	59.37000000000001
SREBP2	67.63000000000001
STAT3	65.01
STEP	86.51000000000002
synapse_loss	60.440000000000005
synj1	16.0
pTau	47.980000000000004
TFEB	16.46
ULK1	56.53000000000001
Vangl2	74.41000000000001
SIRT1	32.550000000000004
HMGCR	75.46000000000001
