"p53"	"PTEN/Dkk1"	"MKK7/synj1"	"PTEN/mTOR"
"a_secretase"	3.38528135932034	52.3109996276222	9.42797936652074	57.3487466555518
"Ab"	96.6147186406797	31.2817338886746	1.10307752670277	21.8998172733905
"ABCA7"	50.2811754122939	56.7287075270886	98.8002218590445	56.99918715973
"AKT"	0.562744627686157	38.0799470397389	4.15859262490616	42.4824539792212
"APOE4"	100	100	100	100
"Apoer2"	0	0	0	0
"Apoptosis"	0	2.31544130206687	0	0.518358861048787
"APP"	100	100	2.47116354506399	100
"ATM"	96.0519740129935	8.04616941192728	83.323699616822	0.101266812963365
"Autophagy"	1.12509545227386	18.4864128165445	79.4008982467028	21.7985504604272
"BACE1"	97.1770694652674	31.2817338886746	88.2252256778667	21.8998172733905
"BAD"	96.6147186406797	29.1578195566252	85.3098448049989	21.8998172733905
"BAX"	0	2.31544130206687	0	0.518358861048787
"Bcl2"	3.38528135932034	41.0880930443154	14.6901551950011	42.9501794337883
"BDNF"	0.562744627686157	46.5082762951492	12.3166479485275	50.8418196045818
"beclin1"	100	98.5473596351682	89.4689431067765	99.5322745454329
"Bim"	100	100	0	100
"Ca_ion"	96.6147186406797	2.62598616109351	89.4689431067765	0
"CASP2"	0	41.4650723631569	46.9277025569737	43.00081284027
"CASP3"	0	2.31544130206687	0	0.518358861048787
"Cdk5"	100	100	89.4689431067765	100
"Cholesterol"	75.9870064967516	99.3671256865072	24.9848430686791	91.7364457440748
"CIP2A"	96.6147186406797	31.2817338886746	1.10307752670277	21.8998172733905
"CLU"	100	100	46.9277025569737	100
"Cofilin"	96.0519740129935	15.7644505558313	85.3098448049989	15.6874689721516
"CREB"	3.9480259870065	98.92991772865	17.7530183448267	100
"CYP46A1"	0	0	87.1911227814511	0
"Dab1"	0	0	0	0
"Dkk1"	96.6147186406797	0	0	21.8998172733905
"DLK"	100	100	100	100
"e_NMDAR"	96.6147186406797	2.62598616109351	89.4689431067765	0
"EGR1"	100	100	0	100
"ERK"	100	100	2.47116354506399	100
"FOXO"	99.4372553723138	61.9200529602611	0	57.5175460207788
"Fyn"	0.562744627686157	23.2359150596885	0	21.7985504604272
"GSK3beta"	96.0519740129935	0	0	0
"Jacob"	97.1770694652674	40.6019208429806	89.5656437210292	42.9501794337883
"JNK"	100	100	0	100
"LAMP2"	1.12509545227386	26.4302516362288	100	21.8998172733905
"LC3"	97.7398140929535	28.1765936899088	100	22.3675427279576
"LIMK1"	1.12509545227386	28.7949980762768	4.18495218996024	20.683903518794
"LPL"	48.0259870064967	26.5855306008214	80.9929110897194	36.6702985802857
"LRP6"	3.38528135932034	100	100	78.1001827266095
"MAPT"	96.0519740129935	0	79.4287912608531	0
"MDM2"	0	41.4650723631569	46.9277025569737	43.00081284027
"mGluR"	96.6147186406797	31.2817338886746	1.10307752670277	21.8998172733905
"MKK7"	100	100	0	100
"mTOR"	96.0519740129935	8.04616941192728	8.37888373469972	0
"p38"	2.82293053473263	68.7182661113254	13.9119547452516	78.1001827266095
"p53"	0	41.4650723631569	46.9277025569737	43.00081284027
"p62"	97.7398140929535	28.1765936899088	100	22.3675427279576
"PGC1a"	2.82293053473263	68.7182661113254	11.7044754691249	78.1001827266095
"PI3K"	1.12509545227386	71.6915723750568	14.620827838907	71.5257231233758
"PICALM"	3.38528135932034	95.0589707868385	10.5310568932235	99.4816411389512
"PIP2"	0	0	100	0
"PP2A"	0	0	0	0
"PP2B"	97.1770694652674	31.2817338886746	89.4689431067765	21.8998172733905
"PTEN"	96.6147186406797	0	89.4689431067765	0
"PUMA"	98.8749045477261	36.2361721073892	45.4669327226055	29.0432691441547
"Reelin"	100	97.6845586979331	100	99.4816411389512
"RhoA"	96.6147186406797	41.4650723631569	46.9277025569737	50.8418196045818
"ROCK"	96.6147186406797	47.5780079835579	89.4689431067765	50.8418196045818
"ROS"	96.0519740129935	8.04616941192728	83.323699616822	0.101266812963365
"s_NMDAR"	0.562744627686157	39.5321891545719	4.15859262490616	42.9501794337883
"SORL1"	3.38528135932034	59.3980791570194	17.8073687780919	57.0498205662117
"Sortilin"	96.6147186406797	47.5780079835579	89.4689431067765	50.8418196045818
"SREBP2"	50.2811754122939	56.7287075270886	98.8002218590445	56.99918715973
"STAT3"	100	100	89.4689431067765	100
"STEP"	97.1770694652674	31.2817338886746	86.0880452547484	21.8998172733905
"synapse_loss"	96.0519740129935	0	79.3584502116545	0
"synj1"	100	100	0	100
"pTau"	96.0519740129935	0	4.48397537873087	0
"TFEB"	1.12509545227386	26.4302516362288	84.8218450087792	21.8998172733905
"ULK1"	3.9480259870065	91.9538305880727	91.6211162653003	100
"Vangl2"	96.6147186406797	0	0	21.8998172733905
"SIRT1"	3.9480259870065	91.9538305880727	16.676300383178	99.8987331870366
"HMGCR"	50.2811754122939	60.9003765328292	99.9736404349459	65.3809073744006
