	JNK/Cdk5
a_secretase	0.0
Ab	31.860000000000003
ABCA7	32.61
AKT	64.11000000000001
APOE4	16.330000000000002
Apoer2	47.71
Apoptosis	42.64000000000001
APP	19.740000000000002
ATM	71.09
Autophagy	45.980000000000004
BACE1	30.590000000000003
BAD	58.36000000000001
BAX	59.140000000000015
Bcl2	20.260000000000005
BDNF	31.99000000000001
beclin1	45.68000000000001
Bim	83.12
Ca_ion	77.30000000000001
CASP2	65.58000000000001
CASP3	42.93000000000001
Cdk5	18.150000000000002
Cholesterol	88.74000000000001
CIP2A	85.03000000000002
CLU	33.21000000000001
Cofilin	82.97000000000001
CREB	53.88000000000001
CYP46A1	60.870000000000005
Dab1	19.82
Dkk1	32.68
DLK	31.970000000000002
e_NMDAR	47.980000000000004
EGR1	67.36000000000001
ERK	77.92000000000002
FOXO	74.26000000000002
Fyn	64.16000000000001
GSK3beta	20.75
Jacob	15.450000000000003
JNK	72.83000000000001
LAMP2	80.17000000000002
LC3	71.02000000000001
LIMK1	89.65
LPL	25.770000000000003
LRP6	25.700000000000003
MAPT	78.50000000000001
MDM2	26.440000000000005
mGluR	37.59
MKK7	32.81
mTOR	76.60000000000002
p38	26.1
p53	40.92000000000001
p62	43.05000000000001
PGC1a	89.54000000000002
PI3K	38.2
PICALM	72.20000000000002
PIP2	30.120000000000005
PP2A	50.50000000000001
PP2B	40.34
PTEN	73.64
PUMA	67.63000000000002
Reelin	59.010000000000005
RhoA	77.32000000000001
ROCK	59.70000000000001
ROS	69.16000000000001
s_NMDAR	46.52000000000001
SORL1	25.03
Sortilin	59.45
SREBP2	67.76000000000002
STAT3	64.88000000000001
STEP	85.61000000000001
synapse_loss	59.89000000000001
synj1	15.95
pTau	50.08000000000001
TFEB	16.700000000000003
ULK1	55.31000000000001
Vangl2	72.83000000000001
SIRT1	32.22
HMGCR	73.86000000000001
